"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2017","2,584.8","2,576.5","2,587.7","2,574.5","","0.10%"
"11/10/2017","2,582.3","2,580.2","2,583.8","2,575.6","","-0.09%"
"11/09/2017","2,584.6","2,584.0","2,586.5","2,566.3","","-0.38%"
"11/08/2017","2,594.4","2,588.7","2,595.5","2,585.0","","0.14%"
"11/07/2017","2,590.6","2,592.1","2,597.0","2,584.4","","-0.02%"
"11/06/2017","2,591.1","2,587.5","2,593.4","2,585.7","","0.13%"
"11/03/2017","2,587.8","2,581.9","2,588.4","2,576.8","","0.31%"
"11/02/2017","2,579.9","2,579.5","2,581.1","2,566.2","","0.02%"
"11/01/2017","2,579.4","2,583.2","2,588.4","2,574.9","","0.16%"
"10/31/2017","2,575.3","2,576.0","2,578.3","2,572.1","","0.09%"
"10/30/2017","2,572.8","2,577.8","2,580.0","2,568.3","","-0.32%"
"10/27/2017","2,581.1","2,570.3","2,583.0","2,565.9","","0.81%"
"10/26/2017","2,560.4","2,560.1","2,567.1","2,559.8","","0.13%"
"10/25/2017","2,557.1","2,566.5","2,567.4","2,544.0","","-0.47%"
"10/24/2017","2,569.1","2,568.7","2,572.2","2,565.6","","0.16%"
"10/23/2017","2,565.0","2,578.1","2,578.3","2,564.3","","-0.40%"
"10/20/2017","2,575.2","2,567.6","2,575.4","2,567.6","","0.51%"
"10/19/2017","2,562.1","2,553.4","2,562.4","2,547.9","","0.03%"
"10/18/2017","2,561.3","2,562.9","2,564.1","2,559.7","","0.07%"
"10/17/2017","2,559.4","2,557.2","2,559.7","2,554.7","","0.07%"
"10/16/2017","2,557.6","2,555.6","2,559.5","2,552.6","","0.18%"
"10/13/2017","2,553.2","2,555.7","2,557.6","2,552.1","","0.09%"
"10/12/2017","2,550.9","2,552.9","2,555.3","2,548.3","","-0.17%"
"10/11/2017","2,555.2","2,550.6","2,555.2","2,547.9","","0.18%"
"10/10/2017","2,550.6","2,550.0","2,555.2","2,544.9","","0.23%"
"10/09/2017","2,544.7","2,551.4","2,551.8","2,541.6","","-0.18%"
"10/06/2017","2,549.3","2,547.4","2,549.4","2,543.8","","-0.11%"
"10/05/2017","2,552.1","2,540.9","2,552.5","2,540.0","","0.56%"
"10/04/2017","2,537.7","2,533.5","2,540.5","2,531.8","","0.12%"
"10/03/2017","2,534.6","2,530.3","2,535.1","2,528.9","","0.22%"
"10/02/2017","2,529.1","2,521.2","2,529.2","2,520.4","","0.39%"
"09/29/2017","2,519.4","2,510.0","2,519.4","2,508.0","","0.37%"
"09/28/2017","2,510.1","2,503.4","2,510.8","2,502.9","","0.12%"
"09/27/2017","2,507.0","2,503.3","2,511.8","2,495.9","","0.41%"
"09/26/2017","2,496.8","2,501.0","2,503.5","2,495.1","","0.01%"
"09/25/2017","2,496.7","2,499.4","2,502.5","2,488.0","","-0.22%"
"09/22/2017","2,502.2","2,497.3","2,503.5","2,496.5","","0.06%"
"09/21/2017","2,500.6","2,507.2","2,507.2","2,499.0","","-0.30%"
"09/20/2017","2,508.2","2,506.8","2,508.9","2,496.7","","0.06%"
"09/19/2017","2,506.6","2,506.3","2,507.8","2,503.2","","0.11%"
"09/18/2017","2,503.9","2,502.5","2,508.3","2,499.9","","0.15%"
"09/15/2017","2,500.2","2,495.7","2,500.2","2,493.2","","0.18%"
"09/14/2017","2,495.6","2,494.6","2,498.4","2,491.4","","-0.11%"
"09/13/2017","2,498.4","2,493.9","2,498.4","2,492.1","","0.08%"
"09/12/2017","2,496.5","2,491.9","2,496.8","2,490.4","","0.34%"
"09/11/2017","2,488.1","2,474.5","2,488.9","2,474.5","","1.08%"
"09/08/2017","2,461.4","2,462.3","2,467.1","2,459.4","","-0.15%"
"09/07/2017","2,465.1","2,468.1","2,468.6","2,460.3","","-0.02%"
"09/06/2017","2,465.5","2,463.8","2,469.6","2,459.2","","0.31%"
"09/05/2017","2,457.9","2,470.4","2,472.0","2,446.6","","-0.48%"
"09/04/2017","2,469.6","2,464.8","2,470.8","2,462.0","","0.20%"
"09/03/2017","2,464.8","2,461.5","2,466.5","2,461.1","","-0.48%"
"09/01/2017","2,476.6","2,474.4","2,480.4","2,473.9","","0.20%"
"08/31/2017","2,471.6","2,462.6","2,475.0","2,462.6","","0.57%"
"08/30/2017","2,457.6","2,446.1","2,460.3","2,443.8","","0.46%"
"08/29/2017","2,446.3","2,431.9","2,449.2","2,428.2","","0.08%"
"08/28/2017","2,444.2","2,447.4","2,449.1","2,439.0","","0.05%"
"08/25/2017","2,443.1","2,444.7","2,454.0","2,442.2","","0.17%"
"08/24/2017","2,439.0","2,447.9","2,450.4","2,436.2","","-0.21%"
"08/23/2017","2,444.0","2,444.9","2,448.9","2,441.4","","-0.35%"
"08/22/2017","2,452.5","2,433.8","2,454.8","2,433.7","","0.99%"
"08/21/2017","2,428.4","2,425.5","2,430.6","2,417.4","","0.12%"
"08/18/2017","2,425.6","2,427.6","2,440.3","2,420.7","","-0.18%"
"08/17/2017","2,430.0","2,462.9","2,465.0","2,430.0","","-1.54%"
"08/16/2017","2,468.1","2,468.6","2,474.9","2,463.9","","0.14%"
"08/15/2017","2,464.6","2,468.7","2,468.9","2,461.6","","-0.05%"
"08/14/2017","2,465.8","2,455.0","2,468.2","2,455.0","","1.00%"
"08/11/2017","2,441.3","2,441.0","2,448.1","2,437.9","","0.13%"
"08/10/2017","2,438.2","2,465.4","2,465.4","2,437.8","","-1.45%"
"08/09/2017","2,474.0","2,465.4","2,474.4","2,462.1","","-0.04%"
"08/08/2017","2,474.9","2,478.4","2,490.9","2,470.3","","-0.24%"
"08/07/2017","2,480.9","2,477.1","2,480.9","2,475.9","","0.16%"
"08/04/2017","2,476.8","2,476.9","2,480.0","2,472.1","","0.19%"
"08/03/2017","2,472.2","2,476.0","2,476.0","2,468.9","","-0.22%"
"08/02/2017","2,477.6","2,480.4","2,480.4","2,466.5","","0.05%"
"08/01/2017","2,476.4","2,477.1","2,478.5","2,471.1","","0.24%"
"07/31/2017","2,470.3","2,475.9","2,478.0","2,468.5","","-0.07%"
"07/28/2017","2,472.1","2,469.1","2,473.5","2,464.7","","-0.13%"
"07/27/2017","2,475.4","2,482.8","2,484.0","2,459.9","","-0.10%"
"07/26/2017","2,477.8","2,480.0","2,481.7","2,474.9","","0.03%"
"07/25/2017","2,477.1","2,477.9","2,481.2","2,474.9","","0.29%"
"07/24/2017","2,469.9","2,472.0","2,473.1","2,466.3","","-0.11%"
"07/21/2017","2,472.5","2,467.4","2,472.5","2,465.1","","-0.04%"
"07/20/2017","2,473.4","2,475.6","2,477.6","2,468.4","","-0.02%"
"07/19/2017","2,473.8","2,463.9","2,473.8","2,463.9","","0.54%"
"07/18/2017","2,460.6","2,455.9","2,460.9","2,450.3","","0.06%"
"07/17/2017","2,459.1","2,459.5","2,462.8","2,457.2","","-0.01%"
"07/14/2017","2,459.3","2,449.2","2,463.5","2,446.7","","0.47%"
"07/13/2017","2,447.8","2,445.0","2,449.3","2,441.7","","0.19%"
"07/12/2017","2,443.3","2,435.8","2,445.8","2,435.8","","0.73%"
"07/11/2017","2,425.5","2,427.4","2,429.3","2,412.8","","-0.08%"
"07/10/2017","2,427.4","2,424.5","2,432.0","2,422.3","","0.09%"
"07/07/2017","2,425.2","2,413.5","2,426.9","2,413.5","","0.64%"
"07/06/2017","2,409.8","2,423.4","2,424.3","2,407.7","","-0.94%"
"07/05/2017","2,432.5","2,430.8","2,434.9","2,422.1","","0.36%"
"07/04/2017","2,423.8","2,427.4","2,431.4","2,421.3","","-0.22%"
"07/03/2017","2,429.0","2,431.4","2,439.2","2,428.7","","0.23%"
"06/30/2017","2,423.4","2,429.2","2,432.7","2,421.6","","0.15%"
"06/29/2017","2,419.7","2,442.4","2,442.7","2,405.7","","-0.86%"
"06/28/2017","2,440.7","2,428.7","2,443.0","2,428.0","","0.88%"
"06/27/2017","2,419.4","2,436.3","2,440.1","2,419.4","","-0.81%"
"06/26/2017","2,439.1","2,443.3","2,450.4","2,437.0","","0.03%"
"06/23/2017","2,438.3","2,434.6","2,441.4","2,431.1","","0.16%"
"06/22/2017","2,434.5","2,437.4","2,441.6","2,433.3","","-0.05%"
"06/21/2017","2,435.6","2,439.3","2,442.2","2,430.7","","-0.06%"
"06/20/2017","2,437.0","2,450.7","2,450.7","2,436.6","","-0.67%"
"06/19/2017","2,453.5","2,442.6","2,453.8","2,441.8","","0.83%"
"06/16/2017","2,433.1","2,431.2","2,433.1","2,422.9","","0.03%"
"06/15/2017","2,432.5","2,424.1","2,433.9","2,418.5","","-0.22%"
"06/14/2017","2,437.9","2,443.8","2,443.8","2,428.3","","-0.10%"
"06/13/2017","2,440.4","2,434.1","2,441.5","2,431.3","","0.45%"
"06/12/2017","2,429.4","2,425.9","2,430.4","2,420.0","","-0.10%"
"06/09/2017","2,431.8","2,436.4","2,446.2","2,415.7","","-0.08%"
"06/08/2017","2,433.8","2,434.3","2,439.3","2,427.9","","0.03%"
"06/07/2017","2,433.1","2,432.0","2,435.3","2,424.8","","0.16%"
"06/06/2017","2,429.3","2,431.9","2,436.2","2,428.1","","-0.28%"
"06/05/2017","2,436.1","2,437.8","2,439.6","2,434.3","","-0.12%"
"06/02/2017","2,439.1","2,431.3","2,440.2","2,427.7","","0.37%"
"06/01/2017","2,430.1","2,415.6","2,430.1","2,413.5","","0.76%"
"05/31/2017","2,411.8","2,415.6","2,416.0","2,403.6","","-0.05%"
"05/30/2017","2,412.9","2,411.7","2,415.3","2,409.4","","-0.06%"
"05/29/2017","2,414.3","2,415.5","2,417.0","2,413.8","","-0.05%"
"05/28/2017","2,415.5","2,414.6","2,417.0","2,414.0","","-0.01%"
"05/26/2017","2,415.8","2,414.5","2,416.7","2,412.2","","0.03%"
"05/25/2017","2,415.1","2,409.5","2,418.7","2,408.0","","0.44%"
"05/24/2017","2,404.4","2,401.4","2,405.6","2,398.0","","0.25%"
"05/23/2017","2,398.4","2,397.0","2,400.9","2,393.9","","0.18%"
"05/22/2017","2,394.0","2,387.2","2,395.5","2,386.9","","0.52%"
"05/19/2017","2,381.7","2,371.4","2,389.1","2,370.4","","0.68%"
"05/18/2017","2,365.7","2,354.7","2,375.7","2,352.7","","0.37%"
"05/17/2017","2,357.0","2,382.9","2,384.9","2,356.2","","-1.82%"
"05/16/2017","2,400.7","2,404.6","2,405.8","2,396.1","","-0.07%"
"05/15/2017","2,402.3","2,394.0","2,404.1","2,393.9","","0.48%"
"05/12/2017","2,390.9","2,392.4","2,392.4","2,387.2","","-0.15%"
"05/11/2017","2,394.4","2,394.8","2,395.7","2,381.7","","-0.22%"
"05/10/2017","2,399.6","2,396.8","2,399.7","2,392.8","","0.11%"
"05/09/2017","2,396.9","2,401.6","2,403.9","2,392.4","","-0.10%"
"05/08/2017","2,399.4","2,399.9","2,401.4","2,393.9","","0.00%"
"05/05/2017","2,399.3","2,392.4","2,399.3","2,389.4","","0.41%"
"05/04/2017","2,389.5","2,389.8","2,391.4","2,380.4","","0.06%"
"05/03/2017","2,388.1","2,386.5","2,389.8","2,379.8","","-0.13%"
"05/02/2017","2,391.2","2,391.1","2,392.9","2,385.8","","0.12%"
"05/01/2017","2,388.3","2,388.5","2,394.5","2,384.8","","0.17%"
"04/28/2017","2,384.2","2,393.7","2,393.7","2,382.4","","-0.19%"
"04/27/2017","2,388.8","2,389.7","2,392.1","2,382.7","","0.06%"
"04/26/2017","2,387.4","2,389.0","2,398.2","2,386.8","","-0.05%"
"04/25/2017","2,388.6","2,381.5","2,392.5","2,381.1","","0.61%"
"04/24/2017","2,374.1","2,370.3","2,377.0","2,369.2","","1.08%"
"04/21/2017","2,348.7","2,354.7","2,356.2","2,344.5","","-0.30%"
"04/20/2017","2,355.8","2,342.7","2,361.4","2,340.9","","0.76%"
"04/19/2017","2,338.2","2,346.8","2,352.6","2,335.1","","-0.17%"
"04/18/2017","2,342.2","2,342.5","2,348.4","2,334.5","","-0.29%"
"04/17/2017","2,349.0","2,332.6","2,349.1","2,332.5","","0.86%"
"04/13/2017","2,328.9","2,342.0","2,348.3","2,328.9","","-0.68%"
"04/12/2017","2,344.9","2,352.1","2,352.7","2,341.2","","-0.38%"
"04/11/2017","2,353.8","2,353.9","2,355.2","2,337.3","","-0.14%"
"04/10/2017","2,357.2","2,357.2","2,366.4","2,351.5","","0.07%"
"04/07/2017","2,355.5","2,356.6","2,363.8","2,350.7","","-0.08%"
"04/06/2017","2,357.5","2,353.8","2,364.2","2,348.9","","0.19%"
"04/05/2017","2,352.9","2,366.6","2,378.4","2,350.5","","-0.31%"
"04/04/2017","2,360.2","2,354.8","2,360.5","2,350.7","","0.06%"
"04/03/2017","2,358.8","2,362.3","2,365.9","2,344.7","","-0.16%"
"03/31/2017","2,362.7","2,364.8","2,370.4","2,362.6","","-0.23%"
"03/30/2017","2,368.1","2,361.3","2,370.4","2,358.6","","0.29%"
"03/29/2017","2,361.1","2,356.5","2,363.4","2,352.9","","0.11%"
"03/28/2017","2,358.6","2,339.8","2,363.8","2,337.6","","0.73%"
"03/27/2017","2,341.6","2,329.1","2,344.9","2,322.3","","-0.10%"
"03/24/2017","2,344.0","2,350.4","2,356.2","2,335.7","","-0.08%"
"03/23/2017","2,346.0","2,346.0","2,358.9","2,342.1","","-0.11%"
"03/22/2017","2,348.4","2,343.0","2,351.8","2,336.4","","0.19%"
"03/21/2017","2,344.0","2,379.3","2,381.9","2,341.9","","-1.24%"
"03/20/2017","2,373.5","2,378.2","2,379.6","2,369.7","","-0.20%"
"03/17/2017","2,378.3","2,383.7","2,385.7","2,377.6","","-0.13%"
"03/16/2017","2,381.4","2,387.7","2,388.1","2,377.2","","-0.16%"
"03/15/2017","2,385.3","2,370.3","2,390.0","2,368.9","","0.84%"
"03/14/2017","2,365.4","2,368.6","2,368.6","2,358.2","","-0.34%"
"03/13/2017","2,373.5","2,371.6","2,374.4","2,368.5","","0.04%"
"03/10/2017","2,372.6","2,372.5","2,376.9","2,363.0","","0.33%"
"03/09/2017","2,364.9","2,363.5","2,369.1","2,354.5","","0.08%"
"03/08/2017","2,363.0","2,369.8","2,373.1","2,361.0","","-0.23%"
"03/07/2017","2,368.4","2,370.7","2,375.1","2,365.5","","-0.29%"
"03/06/2017","2,375.3","2,375.2","2,378.8","2,368.0","","-0.33%"
"03/03/2017","2,383.1","2,380.9","2,383.9","2,375.4","","0.05%"
"03/02/2017","2,381.9","2,394.8","2,394.8","2,380.2","","-0.59%"
"03/01/2017","2,396.0","2,380.1","2,401.0","2,380.1","","1.37%"
"02/28/2017","2,363.6","2,366.1","2,367.8","2,359.0","","-0.26%"
"02/27/2017","2,369.8","2,365.2","2,371.5","2,361.9","","0.10%"
"02/24/2017","2,367.3","2,355.7","2,367.3","2,352.9","","0.15%"
"02/23/2017","2,363.8","2,367.5","2,368.3","2,355.1","","0.04%"
"02/22/2017","2,362.8","2,361.1","2,365.1","2,358.3","","-0.11%"
"02/21/2017","2,365.4","2,354.9","2,366.7","2,354.9","","0.52%"
"02/20/2017","2,353.3","2,347.3","2,356.8","2,346.0","","0.24%"
"02/19/2017","2,347.5","2,346.8","2,348.0","2,346.3","","-0.16%"
"02/17/2017","2,351.2","2,343.0","2,351.2","2,339.6","","0.17%"
"02/16/2017","2,347.2","2,349.6","2,351.3","2,338.9","","-0.09%"
"02/15/2017","2,349.3","2,335.6","2,351.3","2,334.8","","0.50%"
"02/14/2017","2,337.6","2,326.1","2,337.6","2,322.2","","0.40%"
"02/13/2017","2,328.3","2,321.7","2,331.6","2,321.4","","0.52%"
"02/10/2017","2,316.1","2,312.3","2,319.2","2,311.1","","0.36%"
"02/09/2017","2,307.9","2,296.7","2,311.1","2,296.6","","0.58%"
"02/08/2017","2,294.7","2,289.6","2,295.9","2,285.4","","0.07%"
"02/07/2017","2,293.1","2,295.9","2,299.4","2,290.2","","0.02%"
"02/06/2017","2,292.6","2,294.3","2,296.2","2,288.6","","-0.21%"
"02/03/2017","2,297.4","2,288.5","2,298.3","2,287.9","","0.73%"
"02/02/2017","2,280.9","2,276.7","2,284.0","2,271.6","","0.06%"
"02/01/2017","2,279.6","2,285.6","2,289.1","2,272.4","","0.03%"
"01/31/2017","2,278.9","2,274.0","2,279.1","2,267.2","","-0.09%"
"01/30/2017","2,280.9","2,286.0","2,286.0","2,268.0","","-0.60%"
"01/27/2017","2,294.7","2,299.0","2,299.0","2,291.6","","-0.09%"
"01/26/2017","2,296.7","2,298.6","2,301.0","2,294.1","","-0.07%"
"01/25/2017","2,298.4","2,288.9","2,299.6","2,288.9","","0.80%"
"01/24/2017","2,280.1","2,267.9","2,284.6","2,266.7","","0.66%"
"01/23/2017","2,265.2","2,267.8","2,271.8","2,257.0","","-0.27%"
"01/20/2017","2,271.3","2,270.0","2,277.0","2,265.0","","0.34%"
"01/19/2017","2,263.7","2,271.9","2,274.3","2,258.4","","-0.36%"
"01/18/2017","2,271.9","2,269.1","2,272.0","2,263.4","","0.18%"
"01/17/2017","2,267.9","2,269.1","2,272.1","2,262.8","","0.07%"
"01/16/2017","2,266.3","2,268.5","2,269.5","2,265.0","","-0.10%"
"01/15/2017","2,268.5","2,270.3","2,270.3","2,268.0","","-0.27%"
"01/13/2017","2,274.6","2,272.7","2,278.7","2,271.5","","0.18%"
"01/12/2017","2,270.4","2,271.1","2,271.8","2,254.3","","-0.21%"
"01/11/2017","2,275.3","2,268.6","2,275.3","2,260.8","","0.28%"
"01/10/2017","2,268.9","2,269.7","2,279.3","2,265.3","","0.00%"
"01/09/2017","2,268.9","2,273.6","2,275.5","2,268.9","","-0.35%"
"01/06/2017","2,277.0","2,271.1","2,282.1","2,264.1","","0.35%"
"01/05/2017","2,269.0","2,268.2","2,271.5","2,260.4","","-0.08%"
"01/04/2017","2,270.8","2,261.6","2,272.8","2,261.6","","0.57%"
"01/03/2017","2,257.8","2,251.6","2,263.9","2,245.1","","0.65%"
"01/02/2017","2,243.3","2,241.4","2,244.9","2,241.4","","0.20%"
"12/30/2016","2,238.8","2,251.6","2,253.6","2,233.6","","-0.46%"
"12/29/2016","2,249.3","2,249.5","2,254.5","2,244.6","","-0.03%"
"12/28/2016","2,249.9","2,270.2","2,271.3","2,249.1","","-0.84%"
"12/27/2016","2,268.9","2,266.2","2,273.8","2,266.1","","0.44%"
"12/26/2016","2,259.0","2,259.3","2,260.3","2,258.5","","-0.21%"
"12/23/2016","2,263.8","2,260.3","2,263.8","2,258.8","","0.13%"
"12/22/2016","2,261.0","2,262.9","2,263.2","2,256.1","","-0.19%"
"12/21/2016","2,265.2","2,270.5","2,271.2","2,265.1","","-0.25%"
"12/20/2016","2,270.8","2,266.5","2,272.6","2,266.1","","0.36%"
"12/19/2016","2,262.5","2,259.2","2,267.5","2,258.2","","0.20%"
"12/16/2016","2,258.1","2,266.8","2,268.1","2,254.2","","-0.18%"
"12/15/2016","2,262.0","2,253.8","2,272.1","2,253.8","","0.39%"
"12/14/2016","2,253.3","2,268.4","2,276.2","2,248.4","","-0.81%"
"12/13/2016","2,271.7","2,263.3","2,277.5","2,263.3","","0.65%"
"12/12/2016","2,257.0","2,258.8","2,264.0","2,252.4","","-0.11%"
"12/09/2016","2,259.5","2,249.7","2,259.8","2,249.2","","0.59%"
"12/08/2016","2,246.2","2,241.1","2,251.7","2,237.6","","0.22%"
"12/07/2016","2,241.4","2,210.7","2,241.6","2,208.9","","1.32%"
"12/06/2016","2,212.2","2,207.3","2,212.8","2,202.2","","0.34%"
"12/05/2016","2,204.7","2,200.6","2,209.4","2,200.0","","0.58%"
"12/02/2016","2,191.9","2,191.1","2,197.9","2,188.4","","0.04%"
